	ArticleTitle	Question	Answer	DifficultyFromQuestioner	DifficultyFromAnswerer	ArticleFile
0	Abraham_Lincoln	Was Abraham Lincoln the sixteenth President of the United States?	yes	easy	easy	data/set3/a4
1	Abraham_Lincoln	Was Abraham Lincoln the sixteenth President of the United States?	Yes.	easy	easy	data/set3/a4
2	Abraham_Lincoln	Did Lincoln sign the National Banking Act of 1863?	yes	easy	medium	data/set3/a4
3	Abraham_Lincoln	Did Lincoln sign the National Banking Act of 1863?	Yes.	easy	easy	data/set3/a4
4	Abraham_Lincoln	Did his mother die of pneumonia?	no	easy	medium	data/set3/a4
5	Abraham_Lincoln	Did his mother die of pneumonia?	No.	easy	easy	data/set3/a4
6	Abraham_Lincoln	How many long was Lincoln's formal education?	18 months	medium	easy	data/set3/a4
7	Abraham_Lincoln	How many long was Lincoln's formal education?	18 months.	medium	medium	data/set3/a4
8	Abraham_Lincoln	When did Lincoln begin his political career?	1832	medium	easy	data/set3/a4
9	Abraham_Lincoln	When did Lincoln begin his political career?	1832.	medium	medium	data/set3/a4
10	Abraham_Lincoln	What did The Legal Tender Act of 1862 establish?	the United States Note, the first paper currency in United States history	medium	easy	data/set3/a4
11	Abraham_Lincoln	What did The Legal Tender Act of 1862 establish?	The United States Note, the first paper currency in United States history.	medium	medium	data/set3/a4
12	Abraham_Lincoln	Who suggested Lincoln grow a beard?	11-year-old Grace Bedell	hard	medium	data/set3/a4
13	Abraham_Lincoln	Who suggested Lincoln grow a beard?	Grace Bedell.	hard	medium	data/set3/a4
14	Abraham_Lincoln	When did the Gettysburg address argue that America was born?	1776	hard	hard	data/set3/a4
15	Abraham_Lincoln	When did the Gettysburg address argue that America was born?	1776.	hard	hard	data/set3/a4
16	Abraham_Lincoln	Did Lincoln beat John C. Breckinridge in the 1860 election?	yes	hard	medium	data/set3/a4
17	Abraham_Lincoln	Did Lincoln beat John C. Breckinridge in the 1860 election?	Yes.	hard	hard	data/set3/a4
18	Abraham_Lincoln	Was Abraham Lincoln the first President of the United States?	No	easy	easy	data/set3/a4
19	Abraham_Lincoln	Was Abraham Lincoln the first President of the United States?	No	easy	medium	data/set3/a4
20	Abraham_Lincoln	Did Lincoln start his political career in 1832?	Yes	easy	easy	data/set3/a4
21	Abraham_Lincoln	Did Lincoln start his political career in 1832?	Yes	easy	easy	data/set3/a4
22	Abraham_Lincoln	Did Lincoln ever represent Alton & Sangamon Railroad?	Yes	easy	easy	data/set3/a4
23	Abraham_Lincoln	Did Lincoln ever represent Alton & Sangamon Railroad?	Yes	easy	easy	data/set3/a4
24	Abraham_Lincoln	Which county was Lincoln born in?	Hardin County	medium	medium	data/set3/a4
25	Abraham_Lincoln	Which county was Lincoln born in?	Southeast Hardin County, Kentucky	medium	medium	data/set3/a4
26	Abraham_Lincoln	When did Lincoln first serve as President?	March 4, 1861	medium	hard	data/set3/a4
27	Abraham_Lincoln	When did Lincoln first serve as President?	March 4, 1861	medium	medium	data/set3/a4
28	Abraham_Lincoln	Who assassinated Lincoln?	John Wilkes Booth	medium	hard	data/set3/a4
29	Abraham_Lincoln	Who assassinated Lincoln?	John Wilkes Booth	medium	hard	data/set3/a4
30	Abraham_Lincoln	Did Lincoln win the election of 1860?	Yes	hard	hard	data/set3/a4
31	Abraham_Lincoln	Did Lincoln win the election of 1860?	Yes	hard	too hard	data/set3/a4
32	Abraham_Lincoln	Who was the general in charge at the Battle of Antietam?	General McClellan	hard	medium	data/set3/a4
33	Abraham_Lincoln	Who was the general in charge at the Battle of Antietam?	John Alexander McClernand	hard	medium	data/set3/a4
34	Abraham_Lincoln	Why did Lincoln issue the Emancipation Proclamation?	To free slaves 	hard	hard	data/set3/a4
35	Abraham_Lincoln	Why did Lincoln issue the Emancipation Proclamation?	The goal was to weaken the rebellion, which was led and controlled by slave owners.	hard	hard	data/set3/a4
37	Abraham_Lincoln	Do scholars rank lincoln among the top three presidents?	Yes	easy	easy	data/set3/a4
39	Abraham_Lincoln	Did lincoln have 18 months of schooling?	Yes	easy	easy	data/set3/a4
41	Abraham_Lincoln	Was Lincoln chosen as a presidential candidate in 1860?	Yes	easy	easy	data/set3/a4
43	Abraham_Lincoln	How old was Lincoln in 1816?	seven	medium	medium	data/set3/a4
45	Abraham_Lincoln	When was the first photgraph of lincoln taken?	1846	medium	medium	data/set3/a4
47	Abraham_Lincoln	How long was Lincoln's legal Career?	23 years	medium	medium	data/set3/a4
49	Abraham_Lincoln	What trail did Lincoln use a Farmers' Almanac in? 	"he defended William ""Duff"" Armstrong"	hard	hard	data/set3/a4
51	Abraham_Lincoln	Did Abraham Lincoln live in the Frontier?	Yes	hard	medium	data/set3/a4
53	Abraham_Lincoln	Did Lincoln's Wife's Family support slavery?	Yes	hard	medium	data/set3/a4
80	Amedeo_Avogadro	Who is most noted for his contributions to the theory of molarity and molecular weight?	Amedeo Avogadro		medium	data/set4/a8
83	Amedeo_Avogadro	Who graduated in ecclesiastical law at the early age of 20 and began to practice?	Amedeo Avogadro		medium	data/set4/a8
84	Amedeo_Avogadro	Who graduated in ecclesiastical law at the early age of 20 and began to practice?	blah		easy	data/set4/a8
86	Amedeo_Avogadro	When did he publish another memoria?	1821		medium	data/set4/a8
89	Amedeo_Avogadro	When did he become a professor?	1820		medium	data/set4/a8
92	Amedeo_Avogadro	Is it true that he became a professor in 1820?	yes		easy	data/set4/a8
95	Amedeo_Avogadro	Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?	yes		easy	data/set4/a8
98	Amedeo_Avogadro	Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?	yes		easy	data/set4/a8
101	Amedeo_Avogadro	Is he most noted for his contributions to the theory of molarity and molecular weight?	yes		easy	data/set4/a8
